#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
30,Burak Özdemir @cznburak,1.5M,0.37%,,Food,436K
31,Lele Pons @lelepons,1.4M,0.38%,Venezuela,Entertainment & Music,433.3K
32,🏛 Gusttavo Lima 🏛 @gusttavolima,1.4M,0.28%,Brazil,Entertainment & Music Romance & Wedding,432.4K
33,Sou Eu Na Vida @soueunavida,1.4M,0.53%,,Entertainment & Music Funny,432K
34,Wiz Khalifa @wizkhalifa,1.4M,0.2%,Brazil,Entertainment & Music,431.3K
35,Victoria's Secret @victoriassecret,1.4M,0.05%,,,421.5K
36,Mirella Santos @eumirellasantos,1.4M,0.69%,Brazil,Fitness & Health,420.3K
37,+A @maisa,1.4M,0.33%,Brazil,Acting & Drama Business & Entrepreneurship,417.3K
38,James Rodríguez @jamesrodriguez10,1.4M,0.43%,Colombia,Sports,411.9K
39,@6ix9ine,1.4M,-,,,408.2K
40,Zé @zefelipecantor,1.4M,0.17%,,,407.7K
41,LUÍSA SONZA @luisasonza,1.3M,0.59%,Brazil,Entertainment & Music,404.1K
42,Hande Erçel @handemiyy,1.3M,2.71%,,Animation & Cosplay,398.7K
43,Mia K. @miakhalifa,1.3M,0.15%,United States,Entertainment & Music,393.9K
44,DOVE @dovecameron,1.3M,-,,Entertainment & Music,386.2K
45,EarthPix 🌎 Travel @earthpix,1.2M,0.54%,,Nature Travel Photography,372.6K
46,WorldStar Hip Hop / WSHH @worldstar,1.2M,0.1%,,Entertainment & Music,372.5K
47,Alfinetadas Dos Famosos 📌 @alfinetei,1.2M,0.14%,United States,Fashion & Accessories Entertainment & Music,359.4K
48,Sincero Oficial @sincerooficial,1.2M,0.31%,,Funny,359.3K
49,MALUMA @maluma,1.2M,0.48%,Colombia,Entertainment & Music,357.8K
50,Wesley Safadão @wesleysafadao,1.2M,0.1%,,Entertainment & Music,357K
51,Hugo Gloss @hugogloss,1.2M,0.03%,Brazil,Entertainment & Music,353.7K
52,Rockstar Games @rockstargames,1.2M,-,Brazil,Games,350K
53,Jay Shetty @jayshetty,1.2M,0.49%,Brazil,Education Upskilling,346.7K
54,O GIGANTE @leosantana,1.2M,0.23%,,Entertainment & Music,346.7K
55,Larissa Manoela @larissamanoela,1.1M,0.18%,Brazil,Acting & Drama Fashion & Accessories Entertainment & Music Motherhood,344.5K
56,Deive Leonardo @deiveleonardo,1.1M,0.5%,,Music,343.3K
57,"The World’s Coolest Cars, Design & Technology @supercarblondie",1.1M,0.08%,Brazil,Auto and Vehicles,343.3K
58,LUDMILLA @ludmilla,1.1M,0.46%,Brazil,Entertainment & Music,338.2K
59,Júlio Cocielo Estaniecki @cocielo,1.1M,0.51%,Brazil,Entertainment & Music Comedy,334.1K
60,Viih Tube @viihtube,1.1M,1.01%,,Entertainment & Music family,329.8K
61,FUCKJERRY @fuckjerry,1.1M,0.77%,United States,Entertainment & Music Funny,327.1K
62,Rafa Kalimann @rafakalimann,1.1M,0.09%,,Nature Animals Entertainment & Music Life & Society,319.9K
63,BIANCA @bianca,1.1M,0.29%,,Beauty & Self Care,319.4K
64,Mari Maria @marimaria,1M,0.28%,,Beauty & Self Care,306.4K
65,IZA @iza,1M,0.49%,Brazil,Entertainment & Music,305.3K
66,GKAY @gessicakayane,1M,0.19%,,Entertainment & Music,304.9K
67,Sunny Leone @sunnyleone,1M,1.08%,,Beauty & Self Care,304.3K
68,@mccabelinho,1M,0.59%,,Beauty & Self Care,303.9K
69,Sabrina Sato @sabrinasato,1M,0.19%,Brazil,Entertainment & Music Acting & Drama,303.7K
70,Sarcasm @sarcastic_us,984.8K,0.39%,Brazil,Funny,295.4K
71,Arsenal @arsenal,976.2K,-,United Kingdom,Sports,292.9K
72,Nazaré Amarga @nazareamarga,975.7K,0.18%,United Kingdom,Entertainment & Music,292.7K
73,Gary Vay-Ner-Chuk @garyvee,974.1K,0.54%,,Finance Upskilling Entertainment & Music,292.2K
74,The Daily Show @thedailyshow,972.1K,0.33%,,Entertainment & Music Education,291.6K
75,Gina Indelicada @ginaindelicada,970.7K,0.46%,United Kingdom,Entertainment & Music,291.2K
76,RapTV @rap,966.9K,0.2%,United Kingdom,,290.1K
77,Giannis Ugo Antetokounmpo @giannis_an34,953.1K,0.49%,Greece,Sports,285.9K
78,Simaria @simaria,951.7K,0.18%,,Entertainment & Music,285.5K
79,Giovanna Ewbank @gioewbank,949.7K,0.11%,,Entertainment & Music family,284.9K
80,isis valverde @isisvalverde,949.3K,0.08%,Brazil,Entertainment & Music,284.8K
81,COMPLEX @complex,948.5K,0.31%,,Entertainment & Music Fashion & Accessories Product Showcase,284.6K
82,LUCAS RANGEL @lucasranngel,940.4K,0.46%,Brazil,Beauty & Self Care,282.1K
83,Boca de 09 @bocade09,928.1K,0.28%,Brazil,,278.4K
84,billboard @billboard,914.2K,0.3%,United States,Entertainment & Music,274.3K
85,GIL DO VIGOR @gildovigor,911.2K,0.2%,,Finance Education,273.4K
86,Fred Bruno @fred,909.8K,0.23%,,Entertainment & Music,272.9K
87,KIM LOAIZA 🖤 @kimberly.loaiza,908.8K,1.98%,,,272.6K
88,Davido @davido,903.2K,0.84%,Nigeria,Music,271K
89,Lorena Improta @loreimprota,901.9K,0.16%,,Entertainment & Music,270.6K
90,Forbes Brasil @forbesbr,896.6K,0.13%,Brazil,Finance,269K
91,disruptiv & faithfull @cleo,894.9K,0.27%,,Entertainment & Music,268.5K
92,ARIGAMEPLAYS @arigameplays,891K,3.26%,,Games Entertainment & Music,267.3K
93,Thiago Nigro | O Primo Rico @thiago.nigro,890.5K,0.26%,,Finance,267.1K
94,T H I A G O V E N T U R A @othiagoventura,888.1K,0.23%,,Entertainment & Music Funny,266.4K
95,Tata Estaniecki Cocielo @tata,887.6K,0.42%,Brazil,Product Showcase,266.3K
96,Eliana Michaelichen @eliana,882.6K,0.36%,Brazil,Entertainment & Music,264.8K
97,Resiliência Humana @resiliencia_humana,871.9K,0.14%,,Life & Society,261.6K
98,Juliana Paes @julianapaes,870.8K,0.09%,,Education Romance & Wedding Entertainment & Music,261.2K
99,NATTI NATASHA @nattinatasha,867.4K,0.37%,,Music,260.2K
100,Leo Dias @leodias,866.3K,0.14%,,Entertainment & Music Journalism,259.9K
