#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
71,MALUMA @maluma,63.9M,1.27%,Colombia,Entertainment and Music Music Singer,19.2M
72,Mohamed Salah @mosalah,63.5M,1.37%,Egypt,Sports,19M
73,Millie Bobby Brown @milliebobbybrown,63.3M,0.02%,United Kingdom,Celebrity Actors,19M
74,Manchester United @manchesterunited,63M,0.37%,,Sports Fashion and Accessories Soccer,18.9M
75,Sergio Ramos @sergioramos,62.8M,1.14%,Spain,Sports Soccer,18.8M
76,Leonardo DiCaprio @leonardodicaprio,62.1M,0.2%,United States,Entertainment and Music Celebrity Actors Producers,18.6M
77,Zac Efron @zacefron,62M,0.02%,United States,Actors,18.6M
78,Paul Labile Pogba @paulpogba,61.1M,0.89%,France,Sports,18.3M
79,disha patani (paatni) 🦋 @dishapatani,61M,0.61%,India,Celebrity Actors,18.3M
80,Bella 🦋 @bellahadid,60.9M,1.83%,United States,Technology Modeling Scientist,18.3M
81,Juventus @juventus,60.4M,0.2%,Italy,Sports Soccer Sports Team Creators & Celebrities,18.1M
82,Whindersson Nunes @whinderssonnunes,59.7M,1.02%,Brazil,Entertainment and Music Funny Celebrity Comedy,17.9M
83,Chris Hemsworth @chrishemsworth,58.5M,1.6%,Australia,Actors,17.5M
84,Georgina Rodríguez @georginagio,58.1M,0.03%,Spain,Books Lifestyle Modeling,17.4M
85,BLΛƆKPIИK @blackpinkofficial,57.9M,0.02%,,Entertainment and Music Music Band Musician Band,17.4M
86,Paulo Dybala @paulodybala,57.6M,2.07%,Argentina,Sports Soccer,17.3M
87,Tata Werneck @tatawerneck,57.2M,0.02%,Brazil,Entertainment and Music Actors Artist,17.2M
88,Robert Downey Jr. @robertdowneyjr,57.2M,0.62%,United States,Actors,17.1M
89,Michelle Obama @michelleobama,57.1M,0.25%,,Books Pets Author Creators & Celebrities,17.1M
90,Ayu Tingting @ayutingting92,56.8M,0.02%,Indonesia,Beauty and Self Care Celebrity Music Lifestyle,17M
91,Lady Gaga @ladygaga,56.4M,0.96%,United States,Shopping Music Singer Songwriting,16.9M
92,Wardell Curry @stephencurry30,56.4M,0.9%,United States,Sports Basketball Athlete Creators & Celebrities,16.9M
93,Adele @adele,55.9M,4.14%,United Kingdom,Singer Music,16.8M
94,Prilly Latuconsina @prillylatuconsina96,55.7M,0.02%,Indonesia,Entertainment and Music Fashion and Accessories Celebrity Actors,16.7M
95,Kriti @kritisanon,55.5M,0.87%,,Art Modeling Artist,16.6M
96,Sunny Leone @sunnyleone,55.3M,0.27%,India,Beauty and Self Care Modeling Actors Actor,16.6M
97,Burak Özdemir @cznburak,54.6M,0.03%,Turkey,Food Music Chef,16.4M
98,Larissa Manoela @larissamanoela,54.3M,0.21%,Brazil,Art Acting and Drama Fashion and Accessories Entertainment and Music,16.3M
99,HUDA BEAUTY @hudabeauty,54.1M,0.05%,United Arab Emirates,Beauty and Self Care Blogger Creators & Celebrities,16.2M
100,Nusr_et#Saltbae @nusr_et,54M,0.16%,United States,Food Business and Finance Chef,16.2M
